"","organisation_name.x","organisation_id.x","organisation_abbr.x","organisation_name.y","organisation_id.y","organisation_abbr.y"
"2","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC","European Molecular Biology Laboratory",941,"EMBL"
"3","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC","The Wellcome Trust",2854,"TWT"
"4","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC","National Human Genome Research Institute",1998,"NHGRI"
"5","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC","EuroKUP COST Action",904,"ECA"
"6","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC","Stockholm University, Sweden",2645,"SUS"
"7","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC","The Wellcome Trust Sanger Institute, Wellcome Trust Genome Campus, Cambridge, UK",2853,"TWTSIWTGCCU"
"8","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC","Howard Hughes Medical Institute",1267,"HHMI"
"9","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC","Department of Molecular and Cell Biology, Harvard University, Cambridge, USA",727,"DOMACBHUCU"
"10","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC","European Comission Horizon 2020",912,"ECH"
"11","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC","Biotechnology and Biological Sciences Research Council",278,"BABSRC"
"13","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC","European Commission FP7",920,"ECF"
"14","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC","Swiss Institute of Bioinformatics",2682,"SIOB"
"15","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC","The Swiss Initiative in Systems Biology (SystemsX.ch), Zurich, Switzerland",2839,"SystemsX.ch"
"16","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC","ELIXIR",839,"E"
"17","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC","State Secretariat for Education, Research and Innovation",2635,"SSFERAI"
"19","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC","National Institutes of Health",2035,"NIOH"
"22","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC","Cambridge Systems Biology Centre, University of Cambridge, Cambridge, UK",351,"CSBCUOCCU"
