"","organisation_name.x","organisation_id.x","organisation_abbr.x","organisation_name.y","organisation_id.y","organisation_abbr.y"
"1","Plazi",3378,"Plazi","Arcadia",3441,"A"
"3","Plazi",3378,"Plazi","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN"
"4","Plazi",3378,"Plazi","Pensoft Publishers",2305,"Pensoft"
"8","Plazi",3378,"Plazi","Naturalis Biodiversity Center",2094,"Naturalis"
"9","Plazi",3378,"Plazi","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000"
"10","Plazi",3378,"Plazi","University of Tartu, Estonia",3132,"TU"
"11","Plazi",3378,"Plazi","Global Biodiversity Information Facility",1166,"GBIF"
"12","Plazi",3378,"Plazi","LifeWatch ERIC",1717,"LE"
"13","Plazi",3378,"Plazi","Consortium of European Taxonomic Facilities",3380,"COETF"
"14","Plazi",3378,"Plazi","Meise Botanic Garden",3379,"MBG"
"15","Plazi",3378,"Plazi","Botanic Garden and Botanical Museum Berlin-Dahlem",302,"BGABMBD"
"16","Plazi",3378,"Plazi","Swiss Institute of Bioinformatics",2682,"SIOB"
"17","Plazi",3378,"Plazi","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC"
"18","Plazi",3378,"Plazi","Stichting TDWG Europe",3385,"TDWG"
