"","organisation_name.x","organisation_id.x","organisation_abbr.x","organisation_name.y","organisation_id.y","organisation_abbr.y"
"1","Meise Botanic Garden",3379,"MBG","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN"
"2","Meise Botanic Garden",3379,"MBG","Plazi",3378,"Plazi"
"3","Meise Botanic Garden",3379,"MBG","Pensoft Publishers",2305,"Pensoft"
"4","Meise Botanic Garden",3379,"MBG","Naturalis Biodiversity Center",2094,"Naturalis"
"5","Meise Botanic Garden",3379,"MBG","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000"
"6","Meise Botanic Garden",3379,"MBG","University of Tartu, Estonia",3132,"TU"
"7","Meise Botanic Garden",3379,"MBG","Global Biodiversity Information Facility",1166,"GBIF"
"8","Meise Botanic Garden",3379,"MBG","LifeWatch ERIC",1717,"LE"
"9","Meise Botanic Garden",3379,"MBG","Consortium of European Taxonomic Facilities",3380,"COETF"
"11","Meise Botanic Garden",3379,"MBG","Botanic Garden and Botanical Museum Berlin-Dahlem",302,"BGABMBD"
"12","Meise Botanic Garden",3379,"MBG","Swiss Institute of Bioinformatics",2682,"SIOB"
"13","Meise Botanic Garden",3379,"MBG","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC"
"14","Meise Botanic Garden",3379,"MBG","Stichting TDWG Europe",3385,"TDWG"
"15","Meise Botanic Garden",3379,"MBG","Vlaanderen is innovatie",3467,"VII"
"21","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Institute for Particle Physics Phenomenology, Durham University",1390,"IFPPPDU"
"31","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Science and Technology Facilities Council",2519,"SATFC"
"17","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","OpenAIRE",2252,"O"
"22","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","European Commission",915,"EC"
"110","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC"
"210","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Swiss National Science Foundation",2684,"SNSF"
"36","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000"
"41","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","TDWG Consortium",2712,"TC"
"51","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Swiss Institute of Bioinformatics",2682,"SIOB"
"71","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","India Alliance DBT Wellcome",1325,"IADW"
"81","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Medical Research Council",1812,"MRC"
"91","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","MS Society",1908,"MS"
"10","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Worldwide Cancer Research",3259,"WCR"
"111","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Global Biodiversity Information Facility",1166,"GBIF"
"121","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Cancer Research UK Manchester Institute",368,"CRUMI"
"131","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","The Dunhill Medical Trust",2766,"TDMT"
"141","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Telethon Foundation",2727,"TF"
"151","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Blood Cancer UK",287,"BCU"
"161","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Chief Scientist Office",503,"CSO"
"171","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Motor Neuron Disease Association",1899,"MNDA"
"18","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Prostate Cancer UK",2373,"PCU"
