"","organisation_name.x","organisation_id.x","organisation_abbr.x","organisation_name.y","organisation_id.y","organisation_abbr.y"
"1","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC"
"2","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Swiss National Science Foundation",2684,"SNSF"
"4","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","TDWG Consortium",2712,"TC"
"5","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Swiss Institute of Bioinformatics",2682,"SIOB"
"6","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN"
"7","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","India Alliance DBT Wellcome",1325,"IADW"
"8","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Medical Research Council",1812,"MRC"
"9","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","MS Society",1908,"MS"
"10","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Worldwide Cancer Research",3259,"WCR"
"11","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Global Biodiversity Information Facility",1166,"GBIF"
"12","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Cancer Research UK Manchester Institute",368,"CRUMI"
"13","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","The Dunhill Medical Trust",2766,"TDMT"
"14","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Telethon Foundation",2727,"TF"
"15","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Blood Cancer UK",287,"BCU"
"16","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Chief Scientist Office",503,"CSO"
"17","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Motor Neuron Disease Association",1899,"MNDA"
"18","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Prostate Cancer UK",2373,"PCU"
"19","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Austrian Science Fund (FWF), Austria",154,"FWF"
"20","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Action on Hearing Loss",21,"AOHL"
"21","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","The Academy of Medical Sciences",2741,"TAOMS"
"22","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Parkinson's Disease UK",2290,"PDU"
"23","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Breast Cancer Now",307,"BCN"
"24","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Arthritis Research UK",115,"ARU"
"25","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","National Centre for the Replacement, Refinement and Reduction of Animals in Research (NC3Rs), London, UK",1975,"NC3Rs"
"26","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","World Health Organization",3252,"WHO"
"27","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","National Institute for Health Research",2003,"NIFHR"
"28","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Myrovlytis Trust",1924,"MT"
"29","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Diabetes UK",757,"DU"
"30","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","The British Heart Foundation",2747,"TBHF"
"31","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","The European Research Council",2772,"TERC"
"32","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Alzheimers Society",67,"AS"
"33","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","The Wellcome Trust",2854,"TWT"
"34","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Biotechnology and Biological Sciences Research Council",278,"BABSRC"
"35","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Marie Curie",1752,"MC"
"37","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Plazi",3378,"Plazi"
"38","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Pensoft Publishers",2305,"Pensoft"
"39","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Naturalis Biodiversity Center",2094,"Naturalis"
"41","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","University of Tartu, Estonia",3132,"TU"
"43","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","LifeWatch ERIC",1717,"LE"
"44","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Consortium of European Taxonomic Facilities",3380,"COETF"
"45","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Meise Botanic Garden",3379,"MBG"
"46","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Botanic Garden and Botanical Museum Berlin-Dahlem",302,"BGABMBD"
"49","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Stichting TDWG Europe",3385,"TDWG"
"53","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Biodiversity Institute of Ontario, University of Guelph, Guelph, ON, Canada",229,"BIOOUOGGOC"
"55","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","International Barcode of Life",3476,"IBOL"
"56","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Government of Ontario",3478,"GOO"
"57","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Canada First Research Excellence Fund",3477,"CFREF"
"58","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Canada Foundation for Innovation",354,"CFFI"
"59","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Natural Sciences and Engineering Research Council of Canada",2101,"NSAERCOC"
"62","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","European Union (EU)",960,"EU"
