"","org_id.x","org_name.x","org_abbr.x","relation.x","org_id.y","org_name.y","org_abbr.y","relation.y","fr_id","fr_name","fr_abbr","fr_subjects"
"2",1166,"Global Biodiversity Information Facility","GBIF","maintains",2564,"SiB Colombia","SiBCo","maintains",2377,"SiB Colombia IPT - GBIF Colombia Repository","SCI-GCR","Biodiversity| Life Science"
"3",1166,"Global Biodiversity Information Facility","GBIF","maintains",1452,"Instituto Humboldt","Insti","funds",2377,"SiB Colombia IPT - GBIF Colombia Repository","SCI-GCR","Biodiversity| Life Science"
"4",1166,"Global Biodiversity Information Facility","GBIF","funds",1761,"Marine Environmental Data and Information Network","Marin","funds",1120,"World Register of Marine Species","WoRMS","Environmental Science| Taxonomy| Biodiversity"
"5",1166,"Global Biodiversity Information Facility","GBIF","funds",1716,"LifeWatch Belgium","LifeW","funds",1120,"World Register of Marine Species","WoRMS","Environmental Science| Taxonomy| Biodiversity"
"6",1166,"Global Biodiversity Information Facility","GBIF","funds",2289,"Pan-European Species directories Infrastructure","PanEu","funds",1120,"World Register of Marine Species","WoRMS","Environmental Science| Taxonomy| Biodiversity"
"7",1166,"Global Biodiversity Information Facility","GBIF","funds",8,"4D4Life project, Species 2000","4D4Li","funds",1120,"World Register of Marine Species","WoRMS","Environmental Science| Taxonomy| Biodiversity"
"9",1166,"Global Biodiversity Information Facility","GBIF","funds",855,"EMODnet Biology","EMODn","funds",1120,"World Register of Marine Species","WoRMS","Environmental Science| Taxonomy| Biodiversity"
"10",1166,"Global Biodiversity Information Facility","GBIF","funds",3338,"European Marine Biological Research Centre","Europ","associated_with",1120,"World Register of Marine Species","WoRMS","Environmental Science| Taxonomy| Biodiversity"
"11",1166,"Global Biodiversity Information Facility","GBIF","funds",2777,"The Flanders Marine Institute","TheFl","maintains",1120,"World Register of Marine Species","WoRMS","Environmental Science| Taxonomy| Biodiversity"
"12",1166,"Global Biodiversity Information Facility","GBIF","funds",1758,"Marine Biodiversity and Ecosystem Functioning EU Network of Excellence","Marin","funds",1120,"World Register of Marine Species","WoRMS","Environmental Science| Taxonomy| Biodiversity"
"13",1166,"Global Biodiversity Information Facility","GBIF","funds",54,"Alfred P. Sloan Foundation","Alfre","funds",1120,"World Register of Marine Species","WoRMS","Environmental Science| Taxonomy| Biodiversity"
"14",1166,"Global Biodiversity Information Facility","GBIF","funds",710,"Department of Fisheries and Oceans","Depar","funds",1120,"World Register of Marine Species","WoRMS","Environmental Science| Taxonomy| Biodiversity"
"15",1166,"Global Biodiversity Information Facility","GBIF","maintains",1979,"National Collaborative Research Infrastructure Strategy","Natio","funds",2373,"Atlas of Living Australia IPT - GBIF Australia Repository","ALA IPT - GBIF Australia Repository","Biodiversity| Life Science"
"17",1166,"Global Biodiversity Information Facility","GBIF","maintains",132,"Atlas of Living Australia, Australia","Atlas","maintains",2373,"Atlas of Living Australia IPT - GBIF Australia Repository","ALA IPT - GBIF Australia Repository","Biodiversity| Life Science"
"18",1166,"Global Biodiversity Information Facility","GBIF","maintains",1167,"Global Biodiversity Information Facility in Spain","Globa","maintains",2375,"GBIF Spain IPT - GBIF Spain Repository","GSI-GSR","Biodiversity| Life Science"
"19",1166,"Global Biodiversity Information Facility","GBIF","maintains",1852,"Ministerio de Asuntos Economicos y Transformacion Digital","Minis","funds",2375,"GBIF Spain IPT - GBIF Spain Repository","GSI-GSR","Biodiversity| Life Science"
"22",1166,"Global Biodiversity Information Facility","GBIF","maintains",357,"Canadensys, Universite de Montreal Biodiversity Centre, Montreal, QC, Canada","Canad","maintains",2376,"Canadensys IPT - GBIF Canadensys Repository","CI-GCR","Biodiversity| Life Science"
"23",1166,"Global Biodiversity Information Facility","GBIF","maintains",1191,"Government of Canada","Gover","maintains",3153,"Canadian Biodiversity Information Facility","CBIF","Agroecology| Botany| Taxonomy| Biodiversity| Agriculture| Life Science| Biology| Ecosystem Science"
"25",1166,"Global Biodiversity Information Facility","GBIF","maintains",3180,"VectorBase","Vecto","maintains",242,"Minimum Information for Reusable Arthropod Abundance Data","MIReAD","Agroecology| Population Dynamics| Biodiversity| Agriculture"
"26",1166,"Global Biodiversity Information Facility","GBIF","maintains",557,"College of Life Sciences, University of Kwa-Zulu Natal, Durban, South Africa","Colle","maintains",242,"Minimum Information for Reusable Arthropod Abundance Data","MIReAD","Agroecology| Population Dynamics| Biodiversity| Agriculture"
"27",1166,"Global Biodiversity Information Facility","GBIF","maintains",1320,"Imperial College London, UK","Imper","maintains",242,"Minimum Information for Reusable Arthropod Abundance Data","MIReAD","Agroecology| Population Dynamics| Biodiversity| Agriculture"
"28",1166,"Global Biodiversity Information Facility","GBIF","maintains",3137,"University of Tennessee","Unive","maintains",242,"Minimum Information for Reusable Arthropod Abundance Data","MIReAD","Agroecology| Population Dynamics| Biodiversity| Agriculture"
"29",1166,"Global Biodiversity Information Facility","GBIF","maintains",3055,"University of Florida","Unive","maintains",242,"Minimum Information for Reusable Arthropod Abundance Data","MIReAD","Agroecology| Population Dynamics| Biodiversity| Agriculture"
"30",1166,"Global Biodiversity Information Facility","GBIF","maintains",421,"Center for Global Health and Translational Science, State University of New York Upstate Medical University, Syracuse, NY, USA","Cente","maintains",242,"Minimum Information for Reusable Arthropod Abundance Data","MIReAD","Agroecology| Population Dynamics| Biodiversity| Agriculture"
"31",1166,"Global Biodiversity Information Facility","GBIF","maintains",1021,"Florida Medical Entomology Lab, University of Florida-IFAS, Vero Beach, FL, USA","Flori","maintains",242,"Minimum Information for Reusable Arthropod Abundance Data","MIReAD","Agroecology| Population Dynamics| Biodiversity| Agriculture"
"32",1166,"Global Biodiversity Information Facility","GBIF","maintains",1404,"Institute of Biology, University of Neuchatel, Neuchatel, Switzerland","Insti","maintains",242,"Minimum Information for Reusable Arthropod Abundance Data","MIReAD","Agroecology| Population Dynamics| Biodiversity| Agriculture"
"33",1166,"Global Biodiversity Information Facility","GBIF","maintains",423,"Center for Infectious Disease Dynamics, Department of Biology, The Pennsylvania State University, University Park, PA, USA","Cente","maintains",242,"Minimum Information for Reusable Arthropod Abundance Data","MIReAD","Agroecology| Population Dynamics| Biodiversity| Agriculture"
"34",1166,"Global Biodiversity Information Facility","GBIF","maintains",745,"Department of Zoology, Milwaukee Public Museum, Milwaukee, WI, USA","Depar","maintains",242,"Minimum Information for Reusable Arthropod Abundance Data","MIReAD","Agroecology| Population Dynamics| Biodiversity| Agriculture"
"36",1166,"Global Biodiversity Information Facility","GBIF","maintains",442,"Centers for Disease Control and Prevention, USA","Cente","maintains",242,"Minimum Information for Reusable Arthropod Abundance Data","MIReAD","Agroecology| Population Dynamics| Biodiversity| Agriculture"
"37",1166,"Global Biodiversity Information Facility","GBIF","maintains",3025,"University of Buffalo, NY, USA","Unive","maintains",1080,"Biological Collections Ontology","BCO","Metagenomics| Taxonomy| Ecology| Biodiversity"
"38",1166,"Global Biodiversity Information Facility","GBIF","maintains",3086,"University of Manchester","Unive","maintains",1080,"Biological Collections Ontology","BCO","Metagenomics| Taxonomy| Ecology| Biodiversity"
"39",1166,"Global Biodiversity Information Facility","GBIF","maintains",3013,"University of Arizona, United States","Unive","maintains",1080,"Biological Collections Ontology","BCO","Metagenomics| Taxonomy| Ecology| Biodiversity"
"40",1166,"Global Biodiversity Information Facility","GBIF","maintains",614,"Cornell University, NY, USA","Corne","maintains",1080,"Biological Collections Ontology","BCO","Metagenomics| Taxonomy| Ecology| Biodiversity"
"41",1166,"Global Biodiversity Information Facility","GBIF","maintains",3033,"University of California San Diego","Unive","maintains",1080,"Biological Collections Ontology","BCO","Metagenomics| Taxonomy| Ecology| Biodiversity"
"42",1166,"Global Biodiversity Information Facility","GBIF","maintains",673,"Department of Biological Sciences, Vanderbilt University, Nashville, Tennessee, United States of America","Depar","maintains",1080,"Biological Collections Ontology","BCO","Metagenomics| Taxonomy| Ecology| Biodiversity"
"43",1166,"Global Biodiversity Information Facility","GBIF","maintains",3068,"University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois, USA","Unive","maintains",1080,"Biological Collections Ontology","BCO","Metagenomics| Taxonomy| Ecology| Biodiversity"
"44",1166,"Global Biodiversity Information Facility","GBIF","maintains",1094,"GBIF Norway","GBIFN","maintains",1080,"Biological Collections Ontology","BCO","Metagenomics| Taxonomy| Ecology| Biodiversity"
"45",1166,"Global Biodiversity Information Facility","GBIF","maintains",3055,"University of Florida","Unive","maintains",1080,"Biological Collections Ontology","BCO","Metagenomics| Taxonomy| Ecology| Biodiversity"
"46",1166,"Global Biodiversity Information Facility","GBIF","maintains",56,"Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research","Alfre","maintains",1080,"Biological Collections Ontology","BCO","Metagenomics| Taxonomy| Ecology| Biodiversity"
"47",1166,"Global Biodiversity Information Facility","GBIF","maintains",631,"Cyverse, United States","Cyver","maintains",1080,"Biological Collections Ontology","BCO","Metagenomics| Taxonomy| Ecology| Biodiversity"
"48",1166,"Global Biodiversity Information Facility","GBIF","maintains",2579,"Smithsonian National Museum of Natural History, Washington DC, USA","Smith","maintains",1080,"Biological Collections Ontology","BCO","Metagenomics| Taxonomy| Ecology| Biodiversity"
"49",1166,"Global Biodiversity Information Facility","GBIF","maintains",338,"California Academy of Sciences","Calif","maintains",1080,"Biological Collections Ontology","BCO","Metagenomics| Taxonomy| Ecology| Biodiversity"
"51",1166,"Global Biodiversity Information Facility","GBIF","maintains",3028,"University of California Berkeley, Berkeley, California, USA","Unive","maintains",1080,"Biological Collections Ontology","BCO","Metagenomics| Taxonomy| Ecology| Biodiversity"
"52",1166,"Global Biodiversity Information Facility","GBIF","maintains",1188,"Gonzaga University, Spokane, Washington, USA","Gonza","maintains",1080,"Biological Collections Ontology","BCO","Metagenomics| Taxonomy| Ecology| Biodiversity"
"53",1166,"Global Biodiversity Information Facility","GBIF","maintains",229,"Biodiversity Institute of Ontario, University of Guelph, Guelph, ON, Canada","Biodi","maintains",1080,"Biological Collections Ontology","BCO","Metagenomics| Taxonomy| Ecology| Biodiversity"
"54",1166,"Global Biodiversity Information Facility","GBIF","maintains",1961,"National Center for Ecological Analysis and Synthesis (NCEAS), Santa Barbara, CA, USA","NCEAS","maintains",1080,"Biological Collections Ontology","BCO","Metagenomics| Taxonomy| Ecology| Biodiversity"
"55",1166,"Global Biodiversity Information Facility","GBIF","maintains",3044,"University of Colorado Boulder","Unive","maintains",1080,"Biological Collections Ontology","BCO","Metagenomics| Taxonomy| Ecology| Biodiversity"
